,title,deal_rating,mileage,price,stock_type,location
1388,2023 Lexus GX 460 Premium,Great Deal,"14,501 mi.","$56,900
$748 price drop",Used,"Glens Falls, NY"
1389,2008 Lexus GX 470,Good Deal,"205,954 mi.","$11,469",Used,"Katy, TX"
1390,2023 Jeep Wrangler 4xe Sahara,Good Deal,"17,421 mi.","$39,500",Used,"Greensboro, NC"
1391,2016 Volvo XC90 T6 Momentum,Good Deal,"62,577 mi.","$22,995",Used,"Stonington, CT"
1392,2018 BMW 330 Gran Turismo i xDrive,Good Deal,"72,677 mi.","$21,000",Used,"Bismarck, ND"
1393,2021 Ford Bronco Sport Outer Banks,Good Deal,"22,485 mi.","$30,998",Used,"Reno, NV"
1394,2022 RAM 1500 Classic Tradesman,Great Deal,"66,923 mi.","$27,888",Used,"Beaumont, TX"
1395,2021 Mercedes-Benz AMG A 35 4MATIC,Good Deal,"28,469 mi.","$37,999",Used,"Southampton Township, NJ"
1396,2005 Lexus RX 330 Base,Fair Deal,"158,450 mi.","$8,995",Used,"Vallejo, CA"
1397,2005 Dodge Ram 1500 Laramie Quad Cab,Great Deal,"250,049 mi.","$5,000",Used,"Riverside, CA"
1398,2000 Jaguar S-Type 3.0,Good Deal,"105,679 mi.","$3,695",Used,"North Ridgeville, OH"
1399,2014 Tesla Model S P85D,Fair Deal,"120,000 mi.","$18,900",Used,"Oklahoma City, OK"
1400,2024 BMW 760 760i xDrive,Good Deal,"6,100 mi.","$118,690",Used,"D'Iberville, MS"
1401,2015 Lexus LS 460 L,Fair Deal,"146,325 mi.","$19,998",Used,"Westminster, CA"
1402,2022 Chrysler Pacifica Limited,Good Deal,"33,204 mi.","$33,000
$590 price drop",Used,"Ashland, VA"
1403,2021 Nissan Rogue Sport S,Good Deal,"62,267 mi.","$18,000",Used,"Ann Arbor, MI"
1404,2021 Nissan NV Cargo NV3500 HD S V8,Fair Deal,"74,560 mi.","$34,781",Used,"Euless, TX"
1405,2020 Lincoln Corsair Reserve,Fair Deal,"39,852 mi.","$35,990",Used,"Princeton, WV"
1406,2010 Cadillac SRX Luxury Collection,Fair Deal,"236,545 mi.","$5,998",Used,"Springfield, IL"
